2010-03-02 11:40:52: 失败
2010-03-02 11:40:56: 失败
2010-03-02 16:40:16: fail to execute sql!Unknown column '互联网门户网站、游戏' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (23,20,2.7,互联网门户网站、游戏 ,1) ON DUPLICATE KEY update fh_id=23 and pm=20 and sr=2.7 and industry=互联网门户网站、游戏  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '养猪、屠宰、生肉加工' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (24,21,2.69,养猪、屠宰、生肉加工 ,1) ON DUPLICATE KEY update fh_id=24 and pm=21 and sr=2.69 and industry=养猪、屠宰、生肉加工  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (25,22,2.5,房地产 ,1) ON DUPLICATE KEY update fh_id=25 and pm=22 and sr=2.5 and industry=房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、建材、天然气' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (26,23,2.47,房地产、建材、天然气 ,1) ON DUPLICATE KEY update fh_id=26 and pm=23 and sr=2.47 and industry=房地产、建材、天然气  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '燃气供应、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (27,24,2.45,燃气供应、房地产 ,1) ON DUPLICATE KEY update fh_id=27 and pm=24 and sr=2.45 and industry=燃气供应、房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、家用电器' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (28,25,2.4,房地产、家用电器 ,1) ON DUPLICATE KEY update fh_id=28 and pm=25 and sr=2.4 and industry=房地产、家用电器  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '塑料瓶、收缩薄膜、纸品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (29,26,2.3,塑料瓶、收缩薄膜、纸品 ,1) ON DUPLICATE KEY update fh_id=29 and pm=26 and sr=2.3 and industry=塑料瓶、收缩薄膜、纸品  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '肉业、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (30,27,2.29,肉业、房地产 ,1) ON DUPLICATE KEY update fh_id=30 and pm=27 and sr=2.29 and industry=肉业、房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产投资' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (31,27,2.29,房地产投资 ,1) ON DUPLICATE KEY update fh_id=31 and pm=27 and sr=2.29 and industry=房地产投资  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '通信产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (32,29,2.22,通信产品 ,1) ON DUPLICATE KEY update fh_id=32 and pm=29 and sr=2.22 and industry=通信产品  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '有机农业、零售' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (33,30,2.19,有机农业、零售 ,1) ON DUPLICATE KEY update fh_id=33 and pm=30 and sr=2.19 and industry=有机农业、零售  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '印刷、包装、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (34,31,2.18,印刷、包装、房地产 ,1) ON DUPLICATE KEY update fh_id=34 and pm=31 and sr=2.18 and industry=印刷、包装、房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '空调' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (35,32,2.17,空调 ,1) ON DUPLICATE KEY update fh_id=35 and pm=32 and sr=2.17 and industry=空调  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '铝制品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (36,33,2.04,铝制品 ,1) ON DUPLICATE KEY update fh_id=36 and pm=33 and sr=2.04 and industry=铝制品  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '洗发水、妇女卫生用品、化妆品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (37,33,2.04,洗发水、妇女卫生用品、化妆品 ,1) ON DUPLICATE KEY update fh_id=37 and pm=33 and sr=2.04 and industry=洗发水、妇女卫生用品、化妆品  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '基础设施、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (38,35,2,基础设施、房地产 ,1) ON DUPLICATE KEY update fh_id=38 and pm=35 and sr=2 and industry=基础设施、房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '彩电、数字电器' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (39,36,1.94,彩电、数字电器 ,1) ON DUPLICATE KEY update fh_id=39 and pm=36 and sr=1.94 and industry=彩电、数字电器  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '电视广播' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (40,37,1.93,电视广播 ,1) ON DUPLICATE KEY update fh_id=40 and pm=37 and sr=1.93 and industry=电视广播  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '工业电子、房地产、购物中心' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (41,37,1.93,工业电子、房地产、购物中心 ,1) ON DUPLICATE KEY update fh_id=41 and pm=37 and sr=1.93 and industry=工业电子、房地产、购物中心  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '建材市场、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (42,37,1.93,建材市场、房地产 ,1) ON DUPLICATE KEY update fh_id=42 and pm=37 and sr=1.93 and industry=建材市场、房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、投资、零售' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (43,37,1.93,房地产、投资、零售 ,1) ON DUPLICATE KEY update fh_id=43 and pm=37 and sr=1.93 and industry=房地产、投资、零售  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '投资、饮料' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (44,37,1.93,投资、饮料 ,1) ON DUPLICATE KEY update fh_id=44 and pm=37 and sr=1.93 and industry=投资、饮料  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、建筑' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (45,42,1.87,房地产、建筑,1) ON DUPLICATE KEY update fh_id=45 and pm=42 and sr=1.87 and industry=房地产、建筑 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '通信产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (46,43,1.86,通信产品,1) ON DUPLICATE KEY update fh_id=46 and pm=43 and sr=1.86 and industry=通信产品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '冰箱等家电产品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (47,44,1.84,冰箱等家电产品,1) ON DUPLICATE KEY update fh_id=47 and pm=44 and sr=1.84 and industry=冰箱等家电产品 and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '药品' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (48,45,1.81,药品,1) ON DUPLICATE KEY update fh_id=48 and pm=45 and sr=1.81 and industry=药品 and bd_id=1
